title,artist,year,duration,genre,group
this ain't a love song,scouting for girls,2010,211,pop,pop
my life would suck without you,kelly clarkson,2009,211,pop,pop
the boy does nothing,alesha dixon,2009,211,pop,pop
how far we've come,matchbox twenty,2008,211,pop,pop
how far we've come,matchbox twenty,2007,211,pop,pop
dare,gorillaz,2005,211,rock,band
lovesong,amiel,2003,211,pop,pop
rise up,australian idol final 12,2003,211,pop,pop
a little less conversation,elvis vs jxl,2002,211,dance,electronic
i'm moving on,scott cain,2002,211,pop,pop
don't let me get me,pink,2002,211,pop,pop
all seats taken,bec cartwright,2002,211,power pop,pop
strawberry kisses,nikki webster,2001,211,pop,pop
play,jennifer lopez,2001,211,pop,pop
groovejet (if this ain't love),spiller,2000,211,dance,electronic
on a night like this,kylie minogue,2000,211,pop,pop
ex-girlfriend,no doubt,2000,211,rock,band
look at me,geri halliwell,1999,211,pop,pop
return of the mack,mark morrison,1996,211,r&b,urban
are you gonna go my way?,lenny kravitz,1993,211,rock,band
let's talk about sex,salt 'n' pepa,1992,211,hip hop,urban
kiss,art of noise featuring tom jones,1989,211,ambient,electronic
kiss,art of noise featuring tom jones,1988,211,ambient,electronic
borrow my heart,taylor henderson,2013,212,singer-songwriter,band
applause,lady gaga,2013,212,pop,pop
down,jay sean feat. lil wayne,2010,212,pop,pop
down,jay sean feat. lil wayne,2009,212,pop,pop
piece of me,britney spears,2008,212,pop,pop
alive,natalie bassingthwaighte,2008,212,dance,electronic
"this ain't a scene, it's an arms race",fall out boy,2007,212,rock,band
shut up and drive,rihanna,2007,212,pop,pop
makes me wonder,maroon 5,2007,212,pop,pop
i write sins not tragedies,panic! at the disco,2006,212,emo,band
you're beautiful,james blunt,2005,212,pop,pop
the hampsterdance song,hampton the hampster,2001,212,dance,electronic
everytime you need me,fragma,2001,212,dance,electronic
oops! i did it again,britney spears,2000,212,pop,pop
bring it all back,s club 7,2000,212,pop,pop
"baby, one more time",britney spears,1999,212,pop,pop
i want it that way,backstreet boys,1999,212,pop,pop
you're still the one,shania twain,1998,212,country,band
tubthumping,chumbawamba,1998,212,folk,band
tubthumping,chumbawamba,1997,212,folk,band
without you,mariah carey,1994,212,pop,pop
moving on up,m-people,1994,212,dance,electronic
don't know much,linda ronstadt featuring aaron neville,1990,212,pop,pop
turn down for what,dj snake feat. lil jon,2014,213,hip hop,urban
pompeii,bastille,2013,213,rock,band
gives you hell,the all-american rejects,2009,213,emo,band
7 things,miley cyrus,2008,213,pop,pop
smack that,akon feat. eminem,2007,213,r&b,urban
everything,michael buble,2007,213,jazz,band
night of my life,damien leith,2006,213,pop,pop
smack that,akon feat. eminem,2006,213,r&b,urban
pump it,black eyed peas,2006,213,pop,pop
you give me something,james morrison,2006,213,jazz,band
scar (ep),missy higgins,2004,213,pop,pop
my prerogative,britney spears,2004,213,pop,pop
miss independent,kelly clarkson,2003,213,pop,pop
somewhere i belong,linkin park,2003,213,rock,band
mambo no.5,bob the builder,2001,213,children music,other
say it isn't so,bon jovi,2000,213,rock,band
bring it all back,s club 7,1999,213,pop,pop
have you ever?,brandy,1999,213,r&b,urban
insomnia,faithless,1997,213,dance,electronic
would i lie to you,charles & eddie,1992,213,pop,pop
crying in the chapel,peter blakeley,1990,213,soul,urban
lost in your eyes,debbie gibson,1989,213,pop,pop
lost in your eyes,debbie gibson,1988,213,pop,pop
blame,calvin harris feat. john newman,2014,214,dance,electronic
the fox,ylvis,2013,214,comedy,other
we found love,rihanna feat. calvin harris,2012,214,pop,pop
we found love,rihanna feat. calvin harris,2011,214,pop,pop
baby,justin bieber feat. ludacris,2010,214,pop,pop
so what,p!nk,2009,214,pop,pop
so what,p!nk,2008,214,pop,pop
give it to me,timbaland feat. nelly furtado & justin timberlake,2007,214,r&b,urban
beautiful soul,jesse mccartney,2005,214,pop,pop
shine,shannon noll,2005,214,rock,band
pon de replay,rihanna,2005,214,pop,pop
she's no you,jesse mccartney,2005,214,pop,pop
these words,natasha bedingfield,2004,214,pop,pop
she wants to move,n*e*r*d,2004,214,hip hop,urban
if tomorrow never comes,ronan keating,2002,214,pop,pop
can't fight the moonlight,leann rimes,2001,214,country,band
hanging by a moment,lifehouse,2001,214,rock,band
no scrubs,t.l.c.,1999,214,r&b,urban
bailamos,enrique iglesias,1999,214,pop,pop
runaway,janet jackson,1995,214,pop,pop
son of a gun,jx,1994,214,dance,electronic
december 1963 (oh what a night),the four seasons,1993,214,pop,pop
break free,ariana grande feat. zedd,2014,215,pop,pop
don't,ed sheeran,2014,215,singer-songwriter,band
part of me,katy perry,2012,215,pop,pop
ridin' solo,jason derulo,2010,215,pop,pop
take it off,ke$ha,2010,215,pop,pop
one time,justin bieber,2010,215,pop,pop
"the take over, the break's over",fall out boy,2007,215,rock,band
call me when you're sober,evanescence,2006,215,rock,band
superstar,jamelia,2004,215,pop,pop
you promised me (tu es foutu),in-grid,2003,215,dance,electronic
so yesterday,hilary duff,2003,215,pop,pop
in the end,linkin park,2002,215,rock,band
everywhere,michelle branch,2002,215,pop,pop
butterfly,crazy town,2001,215,rock,band
lovin' each day,ronan keating,2001,215,pop,pop
what a girl wants,christina aguilera,2000,215,pop,pop
sweet like chocolate,shanks and bigfoot,1999,215,uk garage,urban
it's tricky,run dmc vs jason nevins,1998,215,hip hop,urban
i say a little prayer,diana king,1997,215,reggae,band
white men can't jump,riff,1992,215,rock,band
she drives me crazy,fine young cannibals,1989,215,pop,pop
she drives me crazy,fine young cannibals,1988,215,pop,pop
chandelier,sia,2014,216,pop,pop
let's get ridiculous,redfoo,2013,216,dance,electronic
turn all the lights on,t-pain feat. ne-yo,2012,216,rap,urban
if looks could kill,timomatic,2012,216,r&b,urban
you make me feel,cobra starship feat. sabi,2011,216,pop punk,band
i like it,enrique iglesias feat. pitbull,2010,216,pop,pop
lovegame,lady gaga,2009,216,pop,pop
bad influence,p!nk,2009,216,pop,pop
if u seek amy,britney spears,2009,216,pop,pop
never again,kelly clarkson,2007,216,pop,pop
like this,kelly rowland feat. eve,2007,216,r&b,urban
hate it or love it,the game,2005,216,hip hop,urban
i dont wanna know,mario winans,2004,216,r&b,urban
let's get it started,black eyed peas,2004,216,pop,pop
she hates me,puddle of mudd,2003,216,rock,band
when i get you alone,robin thicke,2003,216,r&b,urban
can i go now,jennifer love hewitt,2003,216,pop,pop
stop calling me,shakaya,2002,216,pop,pop
by the way,red hot chili peppers,2002,216,rock,band
beautiful,disco montego featuring katie underwood,2002,216,dance,electronic
"luv me, luv me",shaggy,2001,216,reggae,band
let's dance,five,2001,216,pop,pop
last one standing,girl thing,2000,216,pop,pop
genie in a bottle,christina aguilera,1999,216,pop,pop
if i let you go,westlife,1999,216,pop,pop
lollipop,aqua,1998,216,pop,pop
life,des'ree,1998,216,pop,pop
i wanna be the only one,eternal,1998,216,r&b,urban
got 'til it's gone,janet jackson,1997,216,pop,pop
ashes to ashes,faith no more,1997,216,rock,band
justified and ancient,the klf,1992,216,house,electronic
unchained melody,righteous brothers,1991,216,pop,pop
unchained melody,righteous brothers,1990,216,pop,pop
i'm gonna be (500 miles),the proclaimers,1989,216,pop,pop
i'm gonna be (500 miles),the proclaimers,1988,216,pop,pop
we are done,the madden brothers,2014,217,rock,band
i'm all yours,jay sean feat. pitbull,2012,217,pop,pop
it's not over,daughtry,2007,217,rock,band
hips don't lie,shakira feat. wyclef jean,2006,217,pop,pop
maybe tonight,kate dearaugo,2006,217,pop,pop
maybe tonight,kate dearaugo,2005,217,pop,pop
n dey say,nelly,2005,217,rap,urban
wake up,hilary duff,2005,217,pop,pop
pieces of me,ashlee simpson,2004,217,pop,pop
angel,amanda perez,2003,217,r&b,urban
shalala lala,vengaboys,2000,217,eurodance,electronic
cartoon heroes,aqua,2000,217,pop,pop
scar tissue,red hot chili peppers,1999,217,rock,band
get ready for this,2 unlimited,1992,217,eurodance,electronic
hold on,wilson phillips,1990,217,adult contemporary,pop
geronimo,sheppard,2014,218,indie rock,band
brave,sara bareilles,2014,218,pop,pop
cosby sweater,hilltop hoods,2014,218,hip hop,urban
bonfire heart,james blunt,2013,218,pop,pop
spectrum (say my name) ep,florence + the machine,2012,218,indie rock,band
both of us,b.o.b feat. taylor swift,2012,218,rap,urban
"hey, soul sister",train,2010,218,rock,band
like a g6,far east movement feat. cataracs & dev,2010,218,pop,pop
plans,birds of tokyo,2010,218,rock,band
boom boom pow,the black eyed peas,2009,218,pop,pop
temperature,sean paul,2006,218,dancehall,urban
push the button,sugababes,2006,218,pop,pop
when you were young,the killers,2006,218,rock,band
don't lie,black eyed peas,2005,218,pop,pop
push the button,sugababes,2005,218,pop,pop
what's your flava?,craig david,2003,218,r&b,urban
in my pocket,mandy moore,2001,218,pop,pop
that don't impress me much,shania twain,1999,218,country,band
burning down the house,tom jones (with the cardigans),1999,218,pop,pop
kokomo,the beach boys,1989,218,pop,pop
now you're in heaven,julian lennon,1989,218,rock,band
one summer,daryl braithwaite,1989,218,pop,pop
kokomo,the beach boys,1988,218,pop,pop
now you're in heaven,julian lennon,1988,218,rock,band
one summer,daryl braithwaite,1988,218,pop,pop
shake it off,taylor swift,2014,219,country,band
wings,little mix,2012,219,pop,pop
who's that girl,guy sebastian feat. eve,2011,219,pop,pop
blow,ke$ha,2011,219,pop,pop
california gurls,katy perry feat. snoop dogg,2010,219,pop,pop
who's that girl,guy sebastian feat. eve,2010,219,pop,pop
tik tok (parody),the midnight beast,2010,219,comedy,other
i hate this part,the pussycat dolls,2008,219,pop,pop
i don't care,fall out boy,2008,219,rock,band
because of you,kelly clarkson,2006,219,pop,pop
breaking free,troy & gabriela,2006,219,rock,band
get right,jennifer lopez,2005,219,pop,pop
girl,destiny's child,2005,219,pop,pop
predictable,delta goodrem,2004,219,pop,pop
out with my baby,guy sebastian,2004,219,pop,pop
predictable,delta goodrem,2003,219,pop,pop
dance with me,debelah morgan,2001,219,r&b,urban
rollin',limp bizkit,2001,219,rock,band
follow me,uncle kracker,2001,219,rock,band
independent women (part 1),destiny's child,2001,219,pop,pop
independent women (part 1),destiny's child,2000,219,pop,pop
these days,bardot,2000,219,pop,pop
mambo no.5,lou bega,1999,219,latin,pop
every morning,sugar ray,1999,219,pop,pop
as long as you love me,backstreet boys,1998,219,pop,pop
you make me wanna,usher,1998,219,pop,pop
as long as you love me,backstreet boys,1997,219,pop,pop
twisted,keith sweat,1997,219,r&b,urban
save the best for last,vanessa williams,1992,219,pop,pop
i want that man,deborah harry,1990,219,rock,band
if i could,1927,1989,219,pop,pop
i'm on my way,the proclaimers,1989,219,pop,pop
if i could,1927,1988,219,pop,pop
i'm on my way,the proclaimers,1988,219,pop,pop
ghost,ella henderson,2014,220,singer-songwriter,band
parachute,timomatic,2013,220,r&b,urban
one more night,maroon 5,2012,220,pop,pop
boys like you,360 feat. gossling,2012,220,hip hop,urban
feel the love,rudimental feat. john newman,2012,220,drum and bass,electronic
what the hell,avril lavigne,2011,220,pop,pop
telephone,lady gaga feat. beyonce,2010,220,pop,pop
love sex magic,ciara feat. justin timberlake,2009,220,pop,pop
into the night,santana feat. chad kroeger,2008,220,rock,band
into the night,santana feat. chad kroeger,2007,220,rock,band
too little too late,jojo,2007,220,pop,pop
clothes off!!!,gym class heroes,2007,220,hip hop,urban
i don't need a man,the pussycat dolls,2006,220,pop,pop
i'm not missing you,stacie orrico,2006,220,pop,pop
yo (excuse me miss),chris brown,2006,220,r&b,urban
la la,ashlee simpson,2005,220,pop,pop
everytime,britney spears,2004,220,pop,pop
i begin to wonder,dannii minogue,2003,220,dance,electronic
original prankster,the offspring,2001,220,punk,band
blue (da ba dee),eiffel 65,2000,220,europop,pop
original prankster,the offspring,2000,220,punk,band
blue (da ba dee),eiffel 65,1999,220,europop,pop
strong enough,cher,1999,220,pop,pop
coco jamboo,mr. president,1998,220,eurodance,electronic
coco jamboo,mr president,1997,220,eurodance,electronic
wrecking ball,miley cyrus,2013,221,pop,pop
la la la,naughty boy feat. sam smith,2013,221,r&b,urban
love is easy,mcfly,2013,221,pop,pop
pop a bottle (fill me up),jessica mauboy,2013,221,pop,pop
stronger (what doesn't kill you),kelly clarkson,2012,221,pop,pop
just can't get enough,the black eyed peas,2011,221,pop,pop
just the way you are,bruno mars,2011,221,pop,pop
mr saxobeat,alexandra stan,2011,221,dance,electronic
just the way you are,bruno mars,2010,221,pop,pop
whatcha say,jason derulo,2010,221,pop,pop
jai ho! (you are my destiny),a.r. rahman feat. the pussycat dolls,2009,221,soundtrack,other
hot n cold,katy perry,2009,221,pop,pop
whatcha say,jason derulo,2009,221,pop,pop
hot n cold,katy perry,2008,221,pop,pop
mercy,duffy,2008,221,pop,pop
are you with me,the potbelleez,2008,221,dance,electronic
talk like that,the presets,2008,221,electronic,electronic
in the ayer,flo rida feat. will.i.am,2008,221,rap,urban
wisemen,james blunt,2006,221,pop,pop
savin me,nickelback,2006,221,rock,band
what you waiting for?,gwen stefani,2005,221,pop,pop
what you waiting for?,gwen stefani,2004,221,pop,pop
the trouble with love is,kelly clarkson,2004,221,pop,pop
superman (it's not easy),five for fighting,2002,221,rock,band
love don't cost a thing,jennifer lopez,2001,221,pop,pop
we like to party,vengaboys,1999,221,eurodance,electronic
i will come to you,hanson,1997,221,pop,pop
i've got a little something for you,mn8,1995,221,r&b,urban
you ain't thinking (about me),sonia dada,1993,221,rock,band
love you right,euphoria,1992,221,electronic,electronic
trumpets,jason derulo,2014,222,pop,pop
i'm not the only one,sam smith,2014,222,pop,pop
trumpets,jason derulo,2013,222,pop,pop
whistle,flo rida,2012,222,rap,urban
ass back home,gym class heroes feat. neon hitch,2012,222,hip hop,urban
wide awake,katy perry,2012,222,pop,pop
grenade,bruno mars,2011,222,pop,pop
grenade,bruno mars,2010,222,pop,pop
crank that,soulja boy,2008,222,hip hop,urban
lost and running,powderfinger,2007,222,rock,band
breathe,blu cantrell,2003,222,r&b,urban
"my neck, my back (lick it)",khia,2003,222,hip hop,urban
all rise,blue,2001,222,pop,pop
bow wow (that's my name),lil bow wow,2001,222,rap,urban
absolutely everybody,vanessa amorosi,2000,222,pop,pop
fly away,lenny kravitz,1999,222,rock,band
beautiful people,marilyn manson,1997,222,rock,band
dreams,gabrielle,1993,222,pop,pop
the key: the secret,urban cookie collective,1993,222,dance,electronic
this is it,dannii minogue,1993,222,dance,electronic
last train to trancentral,the klf,1991,222,house,electronic
faded,zhu,2014,223,electronic,electronic
undressed,kim cesarion,2014,223,pop,pop
roar,katy perry,2014,223,pop,pop
roar,katy perry,2013,223,pop,pop
everybody,justice crew,2013,223,dance,electronic
can't believe it,flo rida feat. pitbull,2013,223,rap,urban
i cry,flo rida,2012,223,rap,urban
don't wake me up,chris brown,2012,223,r&b,urban
i love it,hilltop hoods feat. sia,2012,223,hip hop,urban
rude boy,rihanna,2010,223,pop,pop
white noise,the living end,2008,223,rock,band
stop and stare,onerepublic,2008,223,rock,band
little wonders,rob thomas,2007,223,pop,pop
better than me,hinder,2007,223,rock,band
confessions of a broken heart (daughter to father),lindsay lohan,2006,223,pop,pop
better days,pete murray,2005,223,singer-songwriter,band
not in love,enrique iglesias,2004,223,pop,pop
me against the music,britney spears feat. madonna,2004,223,pop,pop
me against the music,britney spears feat. madonna,2003,223,pop,pop
can't hold us down,christina aguilera,2003,223,pop,pop
underneath your clothes,shakira,2002,223,pop,pop
objection (tango),shakira,2002,223,pop,pop
i'm gonna be alright,jennifer lopez,2002,223,pop,pop
music,madonna,2000,223,pop,pop
2 times,ann lee,1999,223,eurodance,electronic
i live for you,chynna phillips,1996,223,pop,pop
let it go,idina menzel,2014,224,pop,pop
rude,magic!,2014,224,reggae,band
summer,calvin harris,2014,224,dance,electronic
superheroes,the script,2014,224,pop,pop
rude,magic!,2013,224,reggae,band
womanizer,britney spears,2008,224,pop,pop
caught up,usher,2005,224,pop,pop
it's my life,no doubt,2004,224,rock,band
stuck,stacie orrico,2003,224,pop,pop
21 questions,50 cent,2003,224,hip hop,urban
when you look at me,christina milian,2002,224,r&b,urban
how you remind me,nickelback,2002,224,rock,band
how you remind me,nickelback,2001,224,rock,band
it's my life,bon jovi,2000,224,rock,band
she's so high,tal bachman,1999,224,rock,band
how bizarre,o.m.c.,1996,224,trance,electronic
too funky,george michael,1992,224,pop,pop
spin that wheel,hi tek 3,1990,224,hip hop,urban
give me everything,"pitbull feat. ne-yo, afrojack & nayer",2011,225,hip hop,urban
bounce,calvin harris feat. kelis,2011,225,dance,electronic
feel so close,calvin harris,2011,225,dance,electronic
f u,cee-lo green,2010,225,soul,urban
whataya want from me,adam lambert,2010,225,pop,pop
in this life,delta goodrem,2007,225,pop,pop
ms vanity,rob mills,2004,225,pop,pop
adelante,sash!,2000,225,dance,electronic
don't say you love me,m2m,2000,225,pop,pop
got the life,korn,1999,225,rock,band
men in black,will smith,1997,225,hip hop,urban
it's alright,deni hines,1995,225,soul,urban
right in the night (fall in love with music),jam & spoon,1994,225,trance,electronic
mona,craig mclachlan & check 1-2,1990,225,comedy,other
new thang,redfoo,2014,226,dance,electronic
outside,calvin harris feat. ellie goulding,2014,226,dance,electronic
"hold on, we're going home",drake feat. majid jordan,2013,226,rap,urban
warrior,havana brown,2013,226,dance,electronic
gangnam style,psy,2013,226,k pop,pop
gangnam style,psy,2012,226,k pop,pop
beautiful people,chris brown feat. benny benassi,2011,226,r&b,urban
shut it down,pitbull,2010,226,hip hop,urban
running back,jessica mauboy feat. flo rida,2008,226,pop,pop
ufo,sneaky sound system,2007,226,dance,electronic
unfaithful,rihanna,2006,226,pop,pop
"taller, stronger, better",guy sebastian,2006,226,pop,pop
whatever will be,tammin,2005,226,pop,pop
big yellow taxi,counting crows feat. vanessa carlton,2003,226,rock,band
true colours,kasey chambers,2003,226,country,band
don't turn off the lights,enrique iglesias,2002,226,pop,pop
get down on it,peter andre feat. past to present,1996,226,pop,pop
boom! shake the room,jazzy jeff & the fresh prince,1994,226,rap,urban
sweat (a la la la la long),inner circle,1993,226,reggae,band
boom! shake the room,jazzy jeff & the fresh prince,1993,226,rap,urban
i can feel it,radio freedom,1992,226,trance,electronic
rather be,clean bandit feat. jess glynne,2014,227,electronic,electronic
the other side,jason derulo,2013,227,pop,pop
diamonds,rihanna,2013,227,pop,pop
diamonds,rihanna,2012,227,pop,pop
turn up the music,chris brown,2012,227,r&b,urban
international love,pitbull feat. chris brown,2012,227,hip hop,urban
brokenhearted,karmin,2012,227,pop,pop
i know you want me (calle ocho),pitbull,2009,227,hip hop,urban
beep,the pussycat dolls feat. will.i.am,2006,227,pop,pop
almost here,delta goodrem and brian mcfadden,2005,227,pop,pop
lonely no more,rob thomas,2005,227,pop,pop
lose control,missy elliott,2005,227,hip hop,urban
soldier,destiny's child,2005,227,pop,pop
ten days,missy higgins,2005,227,pop,pop
f**k it (i don't want you back),eamon,2004,227,hip hop,urban
hey mama,black eyed peas,2004,227,pop,pop
i miss you,blink 182,2004,227,punk,band
do it with madonna,the androids,2003,227,rock,band
hot in herre,nelly,2002,227,rap,urban
foolish,ashanti,2002,227,r&b,urban
do it with madonna,the androids,2002,227,rock,band
it wasn't me,shaggy,2001,227,reggae,band
uh la la la,alexia,1998,227,eurodance,electronic
runaway,the corrs,1996,227,pop,pop
how do you talk to an angel,the heights,1993,227,rock,band
stay,shakespear's sister,1992,227,pop,pop
i've been thinking about you,londonbeat,1991,227,r&b,urban
ice ice baby,vanilla ice,1991,227,hip hop,urban
ice ice baby,vanilla ice,1990,227,hip hop,urban
steal my girl,one direction,2014,228,pop,pop
beauty and a beat,justin bieber feat. nicki minaj,2012,228,pop,pop
the fighter,gym class heroes feat. ryan tedder,2012,228,hip hop,urban
rolling in the deep,adele,2011,228,pop,pop
firework,katy perry,2011,228,pop,pop
we run the night,havana brown,2011,228,dance,electronic
hold it against me,britney spears,2011,228,pop,pop
fireflies,owl city,2010,228,pop,pop
teenage dream,katy perry,2010,228,pop,pop
dj got us fallin' in love,usher feat. pitbull,2010,228,pop,pop
firework,katy perry,2010,228,pop,pop
take your shirt off,t-pain,2010,228,r&b,urban
bonkers,dizzee rascal & armand van helden,2009,228,grime,urban
fireflies,owl city,2009,228,pop,pop
russian roulette,rihanna,2009,228,pop,pop
irreplaceable,beyonce,2007,228,r&b,urban
here i am,natalie gauci,2007,228,pop,pop
irreplaceable,beyonce,2006,228,r&b,urban
ain't no other man,christina aguilera,2006,228,pop,pop
for you i will (confidence),teddy geiger,2006,228,pop,pop
landslide,dixie chicks,2003,228,country,band
intuition,jewel,2003,228,pop,pop
unwell,matchbox twenty,2003,228,pop,pop
let me blow ya mind,eve,2001,228,hip hop,urban
too close,blue,2001,228,pop,pop
again,lenny kravitz,2001,228,rock,band
because we want to,billie,1998,228,pop,pop
read my lips,melissa,1991,228,pop,pop
i touch myself,divinyls,1991,228,rock,band
unskinny bop,poison,1990,228,rock,band
thank you,mkto,2013,229,pop,pop
i need your love,calvin harris feat. ellie goulding,2013,229,dance,electronic
i won't let you go,james morrison,2012,229,jazz,band
more,usher,2011,229,pop,pop
her diamonds,rob thomas,2009,229,pop,pop
don't stop believin',glee cast,2009,229,pop,pop
been waiting,jessica mauboy,2009,229,pop,pop
electric feel,mgmt,2008,229,indie rock,band
this heart attack,faker,2008,229,alternative rock,band
when i'm gone,simple plan,2008,229,rock,band
20 good reasons,thirsty merc,2007,229,rock,band
light surrounding you,evermore,2007,229,rock,band
light surrounding you,evermore,2006,229,rock,band
have a nice day,bon jovi,2005,229,rock,band
confessions part ii,usher,2004,229,pop,pop
murder on the dancefloor,sophie ellis bextor,2002,229,pop,pop
gettin' jiggy wit it,will smith,1998,229,hip hop,urban
macarena,los del mar,1996,229,latin,pop
ironic,alanis morissette,1996,229,pop,pop
hand on your heart,kylie minogue,1989,229,pop,pop
hand on your heart,kylie minogue,1988,229,pop,pop
you ruin me,the veronicas,2014,230,pop,pop
i'm ready,ajr,2014,230,pop,pop
on the floor,jennifer lopez feat. pitbull,2011,230,pop,pop
last friday night (tgif),katy perry,2011,230,pop,pop
marry you,bruno mars,2011,230,pop,pop
sweet disposition,the temper trap,2010,230,indie rock,band
take a bow,rihanna,2008,230,pop,pop
beat it,fall out boy feat. john mayer,2008,230,rock,band
steer,missy higgins,2007,230,pop,pop
i love it,sneaky sound system,2007,230,dance,electronic
run it!,chris brown,2006,230,r&b,urban
out of the blue,delta goodrem,2004,230,pop,pop
car wash,christina aguilera & missy elliott,2004,230,pop,pop
figured you out,nickelback,2004,230,rock,band
look what you've done,jet,2004,230,rock,band
what's luv?,fat joe,2002,230,hip hop,urban
case of the ex,mya,2001,230,r&b,urban
jumpin' jumpin',destiny's child,2000,230,pop,pop
shape of my heart,backstreet boys,2000,230,pop,pop
how do i live,trisha yearwood,1997,230,country,band
jukebox in siberia,skyhooks,1990,230,rock,band
teardrops,womack & womack,1989,230,soul,urban
teardrops,womack & womack,1988,230,soul,urban
say something,a great big world feat. christina aguilera,2014,231,pop,pop
blank space,taylor swift,2014,231,country,band
burn,ellie goulding,2013,231,pop,pop
payphone,maroon 5 feat. wiz khalifa,2012,231,pop,pop
as long as you love me,justin bieber feat. big sean,2012,231,pop,pop
rain over me,pitbull feat. marc anthony,2011,231,hip hop,urban
mine,taylor swift,2010,231,country,band
you belong with me,taylor swift,2009,231,country,band
use somebody,kings of leon,2009,231,rock,band
let it rock,kevin rudolf feat. lil wayne,2009,231,rock,band
please don't leave me,p!nk,2009,231,pop,pop
low,flo rida feat. t-pain,2008,231,rap,urban
use somebody,kings of leon,2008,231,rock,band
tattoo,jordin sparks,2008,231,pop,pop
like only a woman can,brian mcfadden,2008,231,pop,pop
won't go home without you,maroon 5,2008,231,pop,pop
let it rock,kevin rudolf feat. lil wayne,2008,231,rock,band
buy u a drank (shawty snappin'),t-pain feat. yung joc,2007,231,r&b,urban
buttons,the pussycat dolls feat. snoop dogg,2006,231,pop,pop
ugly,sugababes,2006,231,pop,pop
this is how a heart breaks,rob thomas,2005,231,pop,pop
"i'm not a girl, not yet a woman",britney spears,2002,231,pop,pop
dancing in the moonlight,toploader,2001,231,rock,band
bloke,chris franklin,2000,231,comedy,other
one more time,real mccoy,1997,231,eurodance,electronic
professional widow (it's got to be big),tori amos,1997,231,rock,band
i want you,savage garden,1996,231,pop,pop
mysterious girl,peter andre,1995,231,pop,pop
infinity (1990's time for the guru),guru josh,1990,231,dance,electronic
happy,pharrell williams,2014,232,hip hop,urban
only love can hurt like this,paloma faith,2014,232,pop,pop
never be the same,jessica mauboy,2014,232,pop,pop
happy,pharrell williams,2013,232,hip hop,urban
tonight (i'm lovin' you),enrique iglesias feat. ludacris & dj frank e,2011,232,pop,pop
mr. know it all,kelly clarkson,2011,232,pop,pop
better in time,leona lewis,2008,232,pop,pop
signs,snoop dogg,2005,232,hip hop,urban
four to the floor,starsailor,2004,232,rock,band
innocent eyes,delta goodrem,2003,232,pop,pop
reign,ja rule,2003,232,rap,urban
unchained melody,gareth gates,2003,232,pop,pop
can't get you out of my head,kylie minogue,2001,232,pop,pop
don't stop movin',s club 7,2001,232,pop,pop
shine,vanessa amorosi,2000,232,pop,pop
excalibur,f.c.b.,1995,232,dance,electronic
mmm mmm mmm mmm,crash test dummies,1994,232,rock,band
wild ones,flo rida feat. sia,2012,233,rap,urban
summer paradise,simple plan,2012,233,rock,band
breathing,jason derulo,2011,233,pop,pop
if i had you,adam lambert,2010,233,pop,pop
imma be,the black eyed peas,2010,233,pop,pop
hey there delilah,plain white t's,2007,233,rock,band
the reason,hoobastank,2004,233,rock,band
the way you move,outkast,2004,233,hip hop,urban
popular,darren hayes,2004,233,pop,pop
drive,incubus,2001,233,rock,band
larger than life,backstreet boys,1999,233,pop,pop
shake your bon bon,ricky martin,1999,233,latin,pop
sexy eyes,whigfield,1997,233,eurodance,electronic
what's love got to do with it,warren g,1997,233,hip hop,urban
what's love got to do with it,warren g,1996,233,hip hop,urban
suicide blonde,inxs,1990,233,rock,band
locked out of heaven,bruno mars,2013,234,pop,pop
locked out of heaven,bruno mars,2012,234,pop,pop
love story,taylor swift,2009,234,country,band
closer,ne-yo,2008,234,r&b,urban
this time i know it's for real,young divas,2006,234,pop,pop
don't forget about us,mariah carey,2006,234,pop,pop
midas touch,midnight star,2005,234,r&b,urban
it's too late,evermore,2004,234,rock,band
are you gonna be my girl?,jet,2003,234,rock,band
just a little,liberty x,2002,234,pop,pop
life is a rollercoaster,ronan keating,2000,234,pop,pop
show me the meaning of being lonely,backstreet boys,2000,234,pop,pop
man! i feel like a woman,shania twain,1999,234,country,band
dreamlover,mariah carey,1993,234,pop,pop
how can we be lovers,michael bolton,1990,234,pop,pop
sing,ed sheeran,2014,235,singer-songwriter,band
scream,usher,2012,235,pop,pop
champagne showers,lmfao feat. natalia kills,2011,235,dance,electronic
undisclosed desires,muse,2010,235,rock,band
before the worst,the script,2009,235,pop,pop
love today,mika,2007,235,pop,pop
cupid's chokehold / breakfast in america,gym class heroes,2007,235,hip hop,urban
lonely,akon,2005,235,r&b,urban
bad day,daniel powter,2005,235,pop,pop
hey ya,outkast,2004,235,hip hop,urban
push up,freestylers,2004,235,breakbeat,electronic
bring me to life,evanescence,2003,235,rock,band
hey ya,outkast,2003,235,hip hop,urban
creepin' up slowly,taxiride,2002,235,pop,pop
love at first sight,kylie minogue,2002,235,pop,pop
break ya neck,busta rhymes,2002,235,hip hop,urban
angel,shaggy featuring rayvon,2001,235,reggae,band
don't mess with the radio,nivea,2001,235,r&b,urban
could i have this kiss forever,whitney houston & enrique iglesias,2000,235,pop,pop
pray,tina cousins,2000,235,dance,electronic
i know where it's at,all saints,1998,235,pop,pop
i need you,3t,1997,235,r&b,urban
eternal flame,the bangles,1989,235,pop,pop
bedroom eyes,kate ceberano,1989,235,pop,pop
eternal flame,the bangles,1988,235,pop,pop
bedroom eyes,kate ceberano,1988,235,pop,pop
