title,artist,year,duration,genre,group
hey porsche,nelly,2013,209,rap,urban
what you've done to me,samantha jade,2012,209,pop,pop
cinema,benny benassi feat. gary go,2011,209,house,electronic
jumpstart,these kids wear crowns,2011,209,power pop,pop
i wanna,the all-american rejects,2009,209,emo,band
better than,the john butler trio,2007,209,rock,band
watching you,rogue traders,2006,209,pop,pop
sarah,eskimo joe,2006,209,rock,band
smooth criminal,alien ant farm,2002,209,rock,band
chop suey!,system of a down,2002,209,rock,band
smooth criminal,alien ant farm,2001,209,rock,band
the itch,vitamin c,2001,209,pop,pop
you've got a way,shania twain,1999,209,country,band
just a girl,no doubt,1996,209,rock,band
take it from me,girlfriend,1992,209,pop,pop
memories,david guetta feat. kid cudi,2010,210,house,electronic
billionaire,travie mccoy feat. bruno mars,2010,210,hip hop,urban
do you remember?,jay sean,2010,210,pop,pop
like it's her birthday,good charlotte,2010,210,rock,band
f**kin' perfect,p!nk,2010,210,pop,pop
take me on the floor,the veronicas,2008,210,pop,pop
i never liked you,rogue traders,2008,210,pop,pop
flaunt it,tv rock feat. seany b,2006,210,dance,electronic
who knew,p!nk,2006,210,pop,pop
faded,kate dearaugo,2006,210,pop,pop
4ever,the veronicas,2005,210,pop,pop
sick and tired,anastacia,2004,210,pop,pop
the ketchup song (asereje),las ketchup,2003,210,latin,pop
get busy,sean paul,2003,210,dancehall,urban
fallin',alicia keys,2001,210,r&b,urban
s club party,s club 7,2000,210,pop,pop
don't give up,chicane featuring bryan adams,2000,210,trance,electronic
all that she wants,ace of base,1993,210,pop,pop
unbelievable,e.m.f.,1991,210,pop,pop
you got it,roy orbison,1989,210,rock,band
you got it,roy orbison,1988,210,rock,band
still into you,paramore,2013,211,emo,band
starships,nicki minaj,2012,211,hip hop,urban
she wolf (falling to pieces),david guetta feat. sia,2012,211,house,electronic
stereo hearts,gym class heroes feat. adam levine,2011,211,hip hop,urban
planets,short stack,2010,211,rock,band
stay the night,james blunt,2010,211,pop,pop
