title,artist,year,duration,group
i can feel it,radio freedom,1992,319,electronic
i will always love you,whitney houston,1992,275,pop
i'll be there,mariah carey,1992,265,pop
jump,kris kross,1992,205,urban
justified and ancient,the klf,1992,217,electronic
knockin' on heaven's door,guns n' roses,1992,336,band
let's talk about sex,salt-n-pepa,1992,211,urban
life is a highway,tom cochrane,1992,265,band
love is in the air (ballroom mix),john paul young,1992,253,pop
love you right,euphoria,1992,222,electronic
marvellous,the 12th man,1992,384,other
not a day goes by,rick price,1992,259,band
november rain,guns n' roses,1992,293,band
ordinary angels (clunk ep),frente,1992,146,pop
please don't go,k.w.s.,1992,215,electronic
rhythm is a dancer,snap,1992,217,electronic
saltwater,julian lennon,1992,248,band
save the best for last,vanessa williams,1992,220,pop
smells like teen spirit,nirvana,1992,302,band
sometimes love just ain't enough,patty smyth with don henley,1992,266,band
stay,shakespear's sister,1992,229,pop
take it from me,girlfriend,1992,209,pop
that word (l.o.v.e.),rockmelons featuring deni hines,1992,234,urban
the best things in life are free,luther vandross & janet jackson,1992,243,urban
the day you went away,wendy matthews,1992,279,pop
this used to be my playground,madonna,1992,310,pop
to be with you,mr. big,1992,276,band
too funky,george michael,1992,238,pop
under the bridge,red hot chili peppers,1992,268,band
way out west,james blundell and james reyne,1992,236,band
white men can't jump,riff,1992,180,band
would i lie to you,charles & eddie,1992,280,pop
a whole new world (aladdin's theme),peabo bryson & regina belle,1993,247,other
all that she wants,ace of base,1993,330,pop
are you gonna go my way?,lenny kravitz,1993,210,band
bed of roses,bon jovi,1993,402,band
boom! shake the room,jazzy jeff & the fresh prince,1993,156,urban
can't get enough of your love,taylor dayne,1993,258,pop
can't help falling in love,ub40,1993,175,band
cat's in the cradle,ugly kid joe,1993,251,band
december 1963 (oh what a night),the four seasons,1993,208,pop
deep,east 17,1993,248,pop
dreamlover,mariah carey,1993,234,pop
dreams,gabrielle,1993,216,pop
easy,faith no more,1993,187,band
everybody hurts,r.e.m.,1993,298,band
freak me,silk,1993,258,urban
gimme little sign,peter andre,1993,193,pop
give in to me,michael jackson,1993,328,pop
house of love,east 17,1993,270,pop
how do you talk to an angel,the heights,1993,204,band
i will always love you,whitney houston,1993,275,pop
i'd do anything for love (but i won't do that),meat loaf,1993,342,band
if i can't have you,kim wilde,1993,209,pop
if i ever fall in love,shai,1993,271,urban
informer,snow,1993,267,band
killing in the name,rage against the machine,1993,392,band
mr. vain,culture beat,1993,257,electronic
no limit,2 unlimited,1993,176,electronic
november rain,guns n' roses,1993,293,band
oh carolina,shaggy,1993,229,band
people everyday,arrested development,1993,246,urban
please forgive me,bryan adams,1993,302,band
rain,madonna,1993,329,pop
runaway train,soul asylum,1993,207,band
soul to squeeze,red hot chili peppers,1993,290,band
stone cold,jimmy barnes,1993,227,band
sweat (a la la la la long),inner circle,1993,225,band
tears in heaven / layla,eric clapton,1993,249,band
tease me,chaka demus and pliers,1993,224,band
that's the way love goes,janet jackson,1993,327,pop
the floor,johnny gill,1993,313,urban
the hitman,a.b. logic,1993,293,electronic
the key: the secret,urban cookie collective,1993,203,electronic
the right kind of love,jeremy jordan,1993,274,pop
the river of dreams,billy joel,1993,320,band
this is it,dannii,1993,375,electronic
three little pigs,green jelly,1993,261,band
two princes,spin doctors,1993,257,band
what's up,4 non blondes,1993,252,band
you ain't thinking (about me),sonia dada,1993,239,band
you don't treat me no good,sonia dada,1993,254,band
100% pure love,crystal waters,1994,250,electronic
7 seconds,youssou n'dour & neneh cherry,1994,305,band
all for love,"bryan adams, rod stewart & sting",1994,336,band
all i wanna do,sheryl crow,1994,343,pop
always,bon jovi,1994,347,band
asshole,denis leary,1994,266,other
"baby, i love your way",big mountain,1994,250,band
boom! shake the room,jazzy jeff & the fresh prince,1994,156,urban
breathe again,toni braxton,1994,268,urban
can we talk,tevin campbell,1994,263,urban
can you feel the love tonight,elton john,1994,244,pop
chains,tina arena,1994,263,pop
confide in me,kylie minogue,1994,386,pop
doop,doop,1994,185,electronic
dum da dum,melodie mc,1994,265,electronic
endless love,luther vandross with mariah carey,1994,358,urban
feelin' alright,e.y.c.,1994,245,urban
give it up,cut 'n' move,1994,265,electronic
hey mr. d.j.,zhane,1994,312,urban
i like to move it,reel to real,1994,230,electronic
i swear,all 4 one,1994,302,pop
i'll make love to you,boyz ii men,1994,259,urban
i'll remember,madonna,1994,264,pop
i'll stand by you,pretenders,1994,241,band
it's alright,east 17,1994,279,pop
love is all around,wet wet wet,1994,237,pop
mmm mmm mmm mmm,crash test dummies,1994,233,band
moving on up,m-people,1994,192,electronic
please forgive me,bryan adams,1994,302,band
power of love,celine dion,1994,288,pop
regulate,warren g. & nate dogg,1994,243,band
